scenario,campus,week,day,start_min,end_min,events_in_slot,rooms_used,rooms_available,slot_utilization_rate
central_only,Central,12,Thursday,660.0,710.0,110,110,232,0.47413793103448276
central_only,Central,13,Wednesday,600.0,650.0,109,109,232,0.4698275862068966
central_only,Central,16,Wednesday,600.0,650.0,109,109,232,0.4698275862068966
central_only,Central,16,Thursday,660.0,710.0,106,106,232,0.45689655172413796
central_only,Central,10,Wednesday,600.0,650.0,105,105,232,0.4525862068965517
central_only,Central,12,Thursday,720.0,770.0,105,105,232,0.4525862068965517
central_only,Central,11,Thursday,660.0,710.0,104,104,232,0.4482758620689655
central_only,Central,16,Thursday,720.0,770.0,104,104,232,0.4482758620689655
central_only,Central,18,Thursday,660.0,710.0,103,103,232,0.44396551724137934
central_only,Central,10,Thursday,660.0,710.0,102,102,232,0.4396551724137931
central_only,Central,11,Thursday,780.0,830.0,102,102,232,0.4396551724137931
central_only,Central,18,Wednesday,660.0,710.0,102,102,232,0.4396551724137931
central_only,Central,13,Thursday,660.0,710.0,101,101,232,0.4353448275862069
central_only,Central,15,Thursday,720.0,770.0,101,101,232,0.4353448275862069
central_only,Central,18,Thursday,720.0,770.0,101,101,232,0.4353448275862069
central_only,Central,11,Thursday,720.0,770.0,100,100,232,0.43103448275862066
central_only,Central,12,Thursday,780.0,830.0,100,100,232,0.43103448275862066
central_only,Central,15,Thursday,660.0,710.0,100,100,232,0.43103448275862066
central_only,Central,17,Thursday,720.0,770.0,100,100,232,0.43103448275862066
central_only,Central,13,Wednesday,660.0,710.0,99,99,232,0.4267241379310345
central_only,Central,17,Wednesday,660.0,710.0,99,99,232,0.4267241379310345
central_only,Central,29,Thursday,840.0,890.0,99,99,232,0.4267241379310345
central_only,Central,11,Wednesday,600.0,650.0,98,98,232,0.4224137931034483
central_only,Central,11,Wednesday,660.0,710.0,98,98,232,0.4224137931034483
central_only,Central,12,Wednesday,600.0,650.0,98,98,232,0.4224137931034483
central_only,Central,12,Wednesday,660.0,710.0,98,98,232,0.4224137931034483
central_only,Central,13,Thursday,720.0,770.0,98,98,232,0.4224137931034483
central_only,Central,15,Wednesday,660.0,710.0,99,98,232,0.4224137931034483
central_only,Central,17,Thursday,780.0,830.0,98,98,232,0.4224137931034483
central_only,Central,17,Wednesday,600.0,650.0,98,98,232,0.4224137931034483
central_only,Central,19,Wednesday,600.0,650.0,98,98,232,0.4224137931034483
central_only,Central,11,Thursday,600.0,650.0,97,97,232,0.41810344827586204
central_only,Central,12,Tuesday,720.0,770.0,97,97,232,0.41810344827586204
central_only,Central,13,Thursday,600.0,650.0,97,97,232,0.41810344827586204
central_only,Central,15,Thursday,840.0,890.0,97,97,232,0.41810344827586204
central_only,Central,15,Wednesday,600.0,650.0,97,97,232,0.41810344827586204
central_only,Central,16,Thursday,600.0,650.0,97,97,232,0.41810344827586204
central_only,Central,16,Wednesday,660.0,710.0,97,97,232,0.41810344827586204
central_only,Central,17,Thursday,660.0,710.0,97,97,232,0.41810344827586204
central_only,Central,17,Thursday,840.0,890.0,97,97,232,0.41810344827586204
central_only,Central,28,Thursday,660.0,710.0,97,97,232,0.41810344827586204
central_only,Central,11,Thursday,840.0,890.0,96,96,232,0.41379310344827586
central_only,Central,13,Thursday,780.0,830.0,96,96,232,0.41379310344827586
central_only,Central,17,Thursday,600.0,650.0,96,96,232,0.41379310344827586
central_only,Central,18,Thursday,600.0,650.0,96,96,232,0.41379310344827586
central_only,Central,18,Tuesday,720.0,770.0,96,96,232,0.41379310344827586
central_only,Central,32,Thursday,840.0,890.0,96,96,232,0.41379310344827586
central_only,Central,34,Thursday,840.0,890.0,96,96,232,0.41379310344827586
central_only,Central,12,Thursday,600.0,650.0,95,95,232,0.40948275862068967
central_only,Central,12,Wednesday,720.0,770.0,95,95,232,0.40948275862068967
central_only,Central,15,Friday,600.0,650.0,95,95,232,0.40948275862068967
central_only,Central,15,Thursday,780.0,830.0,95,95,232,0.40948275862068967
central_only,Central,16,Thursday,780.0,830.0,95,95,232,0.40948275862068967
central_only,Central,18,Wednesday,600.0,650.0,95,95,232,0.40948275862068967
central_only,Central,18,Wednesday,720.0,770.0,95,95,232,0.40948275862068967
central_only,Central,29,Wednesday,660.0,710.0,95,95,232,0.40948275862068967
central_only,Central,30,Thursday,840.0,890.0,95,95,232,0.40948275862068967
central_only,Central,34,Thursday,660.0,710.0,95,95,232,0.40948275862068967
central_only,Central,11,Tuesday,660.0,710.0,94,94,232,0.4051724137931034
central_only,Central,11,Tuesday,720.0,770.0,94,94,232,0.4051724137931034
central_only,Central,13,Thursday,840.0,890.0,94,94,232,0.4051724137931034
central_only,Central,15,Tuesday,660.0,710.0,94,94,232,0.4051724137931034
central_only,Central,16,Tuesday,720.0,770.0,94,94,232,0.4051724137931034
central_only,Central,17,Friday,600.0,650.0,94,94,232,0.4051724137931034
central_only,Central,18,Thursday,780.0,830.0,94,94,232,0.4051724137931034
central_only,Central,33,Thursday,660.0,710.0,94,94,232,0.4051724137931034
central_only,Central,10,Thursday,720.0,770.0,93,93,232,0.40086206896551724
central_only,Central,10,Thursday,780.0,830.0,93,93,232,0.40086206896551724
central_only,Central,11,Friday,600.0,650.0,93,93,232,0.40086206896551724
central_only,Central,12,Tuesday,660.0,710.0,93,93,232,0.40086206896551724
central_only,Central,13,Friday,600.0,650.0,93,93,232,0.40086206896551724
central_only,Central,15,Tuesday,720.0,770.0,93,93,232,0.40086206896551724
central_only,Central,17,Tuesday,720.0,770.0,93,93,232,0.40086206896551724
central_only,Central,35,Friday,600.0,650.0,93,93,232,0.40086206896551724
central_only,Central,35,Thursday,840.0,890.0,93,93,232,0.40086206896551724
central_only,Central,10,Wednesday,660.0,710.0,92,92,232,0.39655172413793105
central_only,Central,12,Tuesday,780.0,830.0,92,92,232,0.39655172413793105
central_only,Central,13,Tuesday,660.0,710.0,92,92,232,0.39655172413793105
central_only,Central,13,Tuesday,720.0,770.0,92,92,232,0.39655172413793105
central_only,Central,15,Thursday,600.0,650.0,92,92,232,0.39655172413793105
central_only,Central,28,Friday,660.0,710.0,93,92,232,0.39655172413793105
central_only,Central,33,Friday,600.0,650.0,92,92,232,0.39655172413793105
central_only,Central,33,Thursday,840.0,890.0,92,92,232,0.39655172413793105
central_only,Central,34,Thursday,600.0,650.0,92,92,232,0.39655172413793105
central_only,Central,36,Thursday,840.0,890.0,92,92,232,0.39655172413793105
central_only,Central,12,Thursday,840.0,890.0,91,91,232,0.3922413793103448
central_only,Central,17,Tuesday,660.0,710.0,91,91,232,0.3922413793103448
central_only,Central,18,Thursday,840.0,890.0,91,91,232,0.3922413793103448
central_only,Central,18,Tuesday,660.0,710.0,91,91,232,0.3922413793103448
central_only,Central,27,Thursday,840.0,890.0,91,91,232,0.3922413793103448
central_only,Central,28,Thursday,840.0,890.0,91,91,232,0.3922413793103448
central_only,Central,29,Thursday,900.0,950.0,91,91,232,0.3922413793103448
central_only,Central,33,Thursday,600.0,650.0,91,91,232,0.3922413793103448
central_only,Central,34,Thursday,720.0,770.0,91,91,232,0.3922413793103448
central_only,Central,35,Thursday,600.0,650.0,91,91,232,0.3922413793103448
central_only,Central,35,Thursday,660.0,710.0,91,91,232,0.3922413793103448
central_only,Central,11,Wednesday,720.0,770.0,90,90,232,0.3879310344827586
central_only,Central,15,Thursday,900.0,950.0,90,90,232,0.3879310344827586
central_only,Central,17,Tuesday,600.0,650.0,90,90,232,0.3879310344827586
central_only,Central,18,Tuesday,780.0,830.0,90,90,232,0.3879310344827586
central_plus_both,New College,28,Friday,600.0,650.0,8,8,8,1.0
central_plus_both,New College,29,Friday,600.0,650.0,8,8,8,1.0
central_plus_both,New College,32,Friday,600.0,650.0,8,8,8,1.0
central_plus_both,New College,34,Friday,600.0,650.0,8,8,8,1.0
central_plus_both,New College,34,Friday,840.0,890.0,8,8,8,1.0
central_plus_both,New College,35,Friday,600.0,650.0,8,8,8,1.0
central_plus_both,New College,35,Friday,840.0,890.0,8,8,8,1.0
central_plus_both,New College,36,Friday,600.0,650.0,8,8,8,1.0
central_plus_both,New College,9,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both,New College,10,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both,New College,11,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both,New College,12,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both,New College,13,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,18,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both,New College,27,Friday,600.0,650.0,7,7,8,0.875
central_plus_both,New College,27,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,27,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,27,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both,New College,28,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,28,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,28,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,29,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,29,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,30,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,30,Friday,600.0,650.0,7,7,8,0.875
central_plus_both,New College,30,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,30,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,30,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both,New College,32,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,32,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,32,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,32,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both,New College,33,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,33,Friday,600.0,650.0,7,7,8,0.875
central_plus_both,New College,33,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,33,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,34,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,34,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,35,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,35,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,36,Friday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,36,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,36,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,36,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both,New College,37,Friday,600.0,650.0,7,7,8,0.875
central_plus_both,New College,37,Friday,840.0,890.0,7,7,8,0.875
central_plus_both,New College,37,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both,New College,14,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both,New College,15,Thursday,540.0,590.0,6,6,8,0.75
central_plus_both,New College,15,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both,New College,16,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both,New College,17,Thursday,540.0,590.0,6,6,8,0.75
central_plus_both,New College,17,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both,New College,19,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both,New College,27,Friday,540.0,590.0,6,6,8,0.75
central_plus_both,New College,27,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both,New College,27,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,28,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both,New College,28,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both,New College,28,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,29,Friday,540.0,590.0,6,6,8,0.75
central_plus_both,New College,29,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both,New College,29,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both,New College,29,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both,New College,29,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,30,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both,New College,30,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,32,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both,New College,32,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both,New College,32,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,33,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both,New College,33,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,34,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both,New College,34,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both,New College,34,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,35,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both,New College,35,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both,New College,35,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both,New College,36,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both,New College,37,Friday,540.0,590.0,6,6,8,0.75
central_plus_both,New College,37,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both,Lauriston,27,Thursday,840.0,890.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,27,Thursday,900.0,950.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,28,Thursday,780.0,830.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,29,Thursday,660.0,710.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,29,Thursday,780.0,830.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,29,Thursday,840.0,890.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,29,Thursday,900.0,950.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,32,Thursday,840.0,890.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,32,Thursday,900.0,950.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,34,Thursday,840.0,890.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,34,Thursday,900.0,950.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,35,Thursday,840.0,890.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,35,Thursday,900.0,950.0,4,4,6,0.6666666666666666
central_plus_both,Lauriston,36,Thursday,660.0,710.0,4,4,6,0.6666666666666666
central_plus_both,New College,9,Tuesday,540.0,590.0,5,5,8,0.625
central_plus_both,New College,10,Friday,960.0,1010.0,5,5,8,0.625
central_plus_both,New College,10,Thursday,540.0,590.0,5,5,8,0.625
central_plus_both,New College,10,Thursday,900.0,950.0,5,5,8,0.625
central_plus_both,New College,10,Tuesday,540.0,590.0,5,5,8,0.625
central_plus_both_shift120,New College,28,Friday,600.0,650.0,8,8,8,1.0
central_plus_both_shift120,New College,29,Friday,600.0,650.0,8,8,8,1.0
central_plus_both_shift120,New College,32,Friday,600.0,650.0,8,8,8,1.0
central_plus_both_shift120,New College,34,Friday,600.0,650.0,8,8,8,1.0
central_plus_both_shift120,New College,34,Friday,840.0,890.0,8,8,8,1.0
central_plus_both_shift120,New College,35,Friday,600.0,650.0,8,8,8,1.0
central_plus_both_shift120,New College,35,Friday,840.0,890.0,8,8,8,1.0
central_plus_both_shift120,New College,36,Friday,600.0,650.0,8,8,8,1.0
central_plus_both_shift120,New College,9,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both_shift120,New College,10,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both_shift120,New College,11,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both_shift120,New College,12,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both_shift120,New College,13,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,18,Tuesday,840.0,950.0,7,7,8,0.875
central_plus_both_shift120,New College,27,Friday,600.0,650.0,7,7,8,0.875
central_plus_both_shift120,New College,27,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,27,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,27,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both_shift120,New College,28,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,28,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,28,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,29,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,29,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,30,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,30,Friday,600.0,650.0,7,7,8,0.875
central_plus_both_shift120,New College,30,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,30,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,30,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both_shift120,New College,32,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,32,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,32,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,32,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both_shift120,New College,33,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,33,Friday,600.0,650.0,7,7,8,0.875
central_plus_both_shift120,New College,33,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,33,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,34,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,34,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,35,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,35,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,36,Friday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,36,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,36,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,36,Thursday,660.0,710.0,7,7,8,0.875
central_plus_both_shift120,New College,37,Friday,600.0,650.0,7,7,8,0.875
central_plus_both_shift120,New College,37,Friday,840.0,890.0,7,7,8,0.875
central_plus_both_shift120,New College,37,Thursday,540.0,590.0,7,7,8,0.875
central_plus_both_shift120,New College,14,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both_shift120,New College,15,Thursday,540.0,590.0,6,6,8,0.75
central_plus_both_shift120,New College,15,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both_shift120,New College,16,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both_shift120,New College,17,Thursday,540.0,590.0,6,6,8,0.75
central_plus_both_shift120,New College,17,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both_shift120,New College,19,Tuesday,840.0,950.0,6,6,8,0.75
central_plus_both_shift120,New College,27,Friday,540.0,590.0,6,6,8,0.75
central_plus_both_shift120,New College,27,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both_shift120,New College,27,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,28,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both_shift120,New College,28,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both_shift120,New College,28,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,29,Friday,540.0,590.0,6,6,8,0.75
central_plus_both_shift120,New College,29,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both_shift120,New College,29,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both_shift120,New College,29,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both_shift120,New College,29,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,30,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both_shift120,New College,30,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,32,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both_shift120,New College,32,Thursday,720.0,770.0,6,6,8,0.75
central_plus_both_shift120,New College,32,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,33,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both_shift120,New College,33,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,34,Thursday,600.0,650.0,6,6,8,0.75
central_plus_both_shift120,New College,34,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both_shift120,New College,34,Thursday,840.0,890.0,6,6,8,0.75
central_plus_both_shift120,New College,35,Thursday,660.0,710.0,6,6,8,0.75
central_plus_both_shift120,New College,35,Thursday,720.0,770.0,6,6,8,0.75
